"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00000711,2022-09-05 14:26:19,קוליפורם צואתי,2400,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-09-19 12:22:11,E.coli MUG,3200,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-09-19 12:22:11,קוליפורם צואתי,3200,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-02 13:26:47,E.coli MUG,1500,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-02 13:26:47,קוליפורם צואתי,1500,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-18 13:03:20,E.coli MUG,730,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-18 13:03:20,קוליפורם צואתי,730,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-30 14:27:18,E.coli MUG,380,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-10-30 14:27:18,קוליפורם צואתי,400,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-11-21 15:48:05,E.coli MUG,190,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-11-21 15:48:05,קוליפורם צואתי,260,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-12-18 13:53:50,E.coli MUG,300,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2022-12-18 13:53:50,קוליפורם צואתי,300,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000706,2022-03-29 13:56:09,E.coli MUG,30,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-03-29 13:56:09,קוליפורם צואתי,50,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-04-11 14:46:04,E.coli MUG,70,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-04-11 14:46:04,קוליפורם צואתי,70,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-04-25 00:00:00,E.coli MUG,170,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-04-25 00:00:00,קוליפורם צואתי,190,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-05-10 14:35:55,E.coli MUG,60,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-05-10 14:35:55,קוליפורם צואתי,60,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-05-23 13:28:03,E.coli MUG,20,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-05-23 13:28:03,קוליפורם צואתי,20,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-06-07 13:27:27,E.coli MUG,50,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-06-07 13:27:27,קוליפורם צואתי,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-06-20 00:00:00,E.coli MUG,290,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-06-20 00:00:00,קוליפורם צואתי,290,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-07-04 12:51:00,E.coli MUG,50,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-07-04 12:51:00,קוליפורם צואתי,50,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-07-18 13:40:43,E.coli MUG,20,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-07-18 13:40:43,קוליפורם צואתי,40,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-08-01 13:00:13,E.coli MUG,20,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-08-01 13:00:13,קוליפורם צואתי,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-08-15 17:37:25,E.coli MUG,40,זוויתן לפני מפל,זוויתן,,
NS00000706,2022-08-15 17:37:25,קוליפורם צואתי,40,זוויתן לפני מפל,זוויתן,,
